0.739	4.301
0.744	4.275
0.752	4.251
0.766	4.228
0.787	4.209
0.805	4.197
0.827	4.185
0.857	4.168
0.917	4.144
0.985	4.129
1.052	4.110
1.134	4.101
1.197	4.094
1.251	4.087
1.312	4.083
1.374	4.074
1.436	4.073
1.497	4.068
1.555	4.066
1.613	4.061
1.664	4.057
1.709	4.056
1.766	4.050
1.817	4.047
1.865	4.045
1.916	4.040
1.959	4.035
2.024	4.033
2.120	4.026
2.205	4.015
2.279	4.009
2.338	4.007
2.410	3.996
2.483	3.983
2.544	3.963
2.592	3.939
2.630	3.920
2.675	3.896
2.729	3.867
2.785	3.841
2.847	3.802
2.886	3.769
2.916	3.738
2.955	3.709
3.005	3.678
3.075	3.655
3.141	3.640
3.194	3.631
3.268	3.613
3.366	3.603
3.463	3.585
3.618	3.553
3.731	3.528
3.789	3.513
3.838	3.500
3.919	3.441
3.936	3.398
3.952	3.348
3.967	3.287
3.970	3.227
3.970	3.171
